letter	frequency
2000	2757810
2001	2890682
2002	2756147
2003	2453845
2004	3123790
2005	3068342
2006	3196726
2007	2677117
2008	2967007
2009	3360931
2010	3331306
2011	3097179
2012	3042044
2013	3357984
2014	3927090
2015	3926339
2016	4296086
2017	4391553
